Hotspot_Name,Bird_Name
Frontenac Pt.,Canada Goose
Frontenac Pt.,Gadwall
Frontenac Pt.,Mallard
Frontenac Pt.,Common Goldeneye
Frontenac Pt.,Red-breasted Merganser
Frontenac Pt.,Ring-billed Gull
Frontenac Pt.,Herring Gull
Frontenac Pt.,American Crow
Frontenac Pt.,Bufflehead
Frontenac Pt.,Common Merganser
Frontenac Pt.,Common Loon
Frontenac Pt.,Red-bellied Woodpecker
Frontenac Pt.,Downy Woodpecker
Frontenac Pt.,Golden-crowned Kinglet
Frontenac Pt.,Dark-eyed Junco
Frontenac Pt.,Red-throated Loon
Frontenac Pt.,Double-crested Cormorant
Frontenac Pt.,Hairy Woodpecker
Frontenac Pt.,Pileated Woodpecker
Frontenac Pt.,Northern Flicker
Frontenac Pt.,Eastern Phoebe
Frontenac Pt.,Blue Jay
Frontenac Pt.,Black-capped Chickadee
Frontenac Pt.,Carolina Wren
Frontenac Pt.,European Starling
Frontenac Pt.,American Robin
Frontenac Pt.,House Finch
Frontenac Pt.,American Goldfinch
Frontenac Pt.,White-throated Sparrow
Frontenac Pt.,Yellow-rumped Warbler
Frontenac Pt.,Great Black-backed Gull
Frontenac Pt.,Great Blue Heron
Frontenac Pt.,Red-tailed Hawk
Frontenac Pt.,Eastern Screech-Owl
Frontenac Pt.,Fish Crow
Frontenac Pt.,Ruby-crowned Kinglet
Frontenac Pt.,Song Sparrow
Frontenac Pt.,Northern Cardinal
Frontenac Pt.,Turkey Vulture
Frontenac Pt.,Bald Eagle
Frontenac Pt.,Yellow-bellied Sapsucker
Frontenac Pt.,Philadelphia/Warbling Vireo
Frontenac Pt.,Red-eyed Vireo
Frontenac Pt.,Tufted Titmouse
Frontenac Pt.,White-breasted Nuthatch
Frontenac Pt.,Gray Catbird
Frontenac Pt.,Hermit Thrush
Frontenac Pt.,Blackpoll Warbler
Frontenac Pt.,Scarlet Tanager
Frontenac Pt.,Belted Kingfisher
Frontenac Pt.,Spotted Sandpiper
Frontenac Pt.,Yellow-throated Vireo
Frontenac Pt.,Warbling Vireo
Frontenac Pt.,Purple Martin
Frontenac Pt.,Barn Swallow
Frontenac Pt.,Eastern Bluebird
Frontenac Pt.,Brown-headed Cowbird
Frontenac Pt.,Common Grackle
Frontenac Pt.,Yellow Warbler
Frontenac Pt.,Osprey
Frontenac Pt.,Blue-gray Gnatcatcher
Frontenac Pt.,Chipping Sparrow
Frontenac Pt.,Baltimore Oriole
Frontenac Pt.,Red-winged Blackbird
Frontenac Pt.,American Redstart
Frontenac Pt.,Indigo Bunting
Frontenac Pt.,Cedar Waxwing
Frontenac Pt.,Eastern Towhee
Frontenac Pt.,Palm Warbler
Frontenac Pt.,Killdeer
Frontenac Pt.,Common Raven
Frontenac Pt.,Northern Rough-winged Swallow
Frontenac Pt.,Tree Swallow
Frontenac Pt.,Wood Thrush
Frontenac Pt.,Ovenbird
Frontenac Pt.,Northern Parula
Frontenac Pt.,Brown Creeper
Frontenac Pt.,Snow Goose
Frontenac Pt.,American Black Duck
Frontenac Pt.,Larus sp.
Frontenac Pt.,Blue-headed Vireo
Frontenac Pt.,Purple Finch
Frontenac Pt.,Hooded Merganser
Frontenac Pt.,Lesser Black-backed Gull
Frontenac Pt.,Cooper's Hawk
Frontenac Pt.,Winter Wren
Frontenac Pt.,grebe sp.
Frontenac Pt.,American Coot
Frontenac Pt.,Magnolia Warbler
Frontenac Pt.,Blackburnian Warbler
Frontenac Pt.,warbler sp. (Parulidae sp.)
Frontenac Pt.,Hooded Warbler
Frontenac Pt.,Eastern Wood-Pewee
Frontenac Pt.,Wilson's Warbler
Frontenac Pt.,Ruby-throated Hummingbird
Frontenac Pt.,Bank Swallow
Frontenac Pt.,Common Yellowthroat
Frontenac Pt.,Yellow-bellied Flycatcher
Frontenac Pt.,Great Crested Flycatcher
Frontenac Pt.,House Wren
Frontenac Pt.,Veery
Frontenac Pt.,Tennessee Warbler
Frontenac Pt.,Chestnut-sided Warbler
Frontenac Pt.,woodpecker sp.
Frontenac Pt.,Louisiana Waterthrush
Frontenac Pt.,Northern Waterthrush
Frontenac Pt.,Bay-breasted Warbler
Frontenac Pt.,Pine Warbler
Frontenac Pt.,Canada Warbler
Frontenac Pt.,Philadelphia Vireo
Frontenac Pt.,Red-breasted Nuthatch
Frontenac Pt.,Northern Mockingbird
Frontenac Pt.,Rose-breasted Grosbeak
Frontenac Pt.,Alder/Willow Flycatcher (Traill's Flycatcher)
Frontenac Pt.,Black-and-white Warbler
Frontenac Pt.,Nashville Warbler
Frontenac Pt.,Black-throated Blue Warbler
Frontenac Pt.,Common Tern
Frontenac Pt.,Merlin
Frontenac Pt.,Mourning Dove
Frontenac Pt.,Swamp Sparrow
Frontenac Pt.,Fox Sparrow
Frontenac Pt.,House Sparrow
Frontenac Pt.,Redhead
Frontenac Pt.,American Pipit
Frontenac Pt.,Ring-necked Duck
Frontenac Pt.,Horned Grebe
Frontenac Pt.,Northern Pintail
Frontenac Pt.,American Tree Sparrow
Frontenac Pt.,White-winged Scoter
Frontenac Pt.,Tundra Swan
Frontenac Pt.,Lesser Scaup
Frontenac Pt.,Ruddy Duck
Frontenac Pt.,Bonaparte's Gull
Frontenac Pt.,duck sp.
Frontenac Pt.,Horned Lark
Frontenac Pt.,Long-tailed Duck
Frontenac Pt.,Wood Duck
Frontenac Pt.,gull sp.
Frontenac Pt.,blackbird sp.
Frontenac Pt.,loon sp.
Frontenac Pt.,Field Sparrow
Frontenac Pt.,Solitary Sandpiper
Frontenac Pt.,Pied-billed Grebe
Frontenac Pt.,Caspian Tern
Frontenac Pt.,Great Egret
Frontenac Pt.,hawk sp.
Frontenac Pt.,swallow sp.
Frontenac Pt.,bird sp.
Frontenac Pt.,Canvasback
Frontenac Pt.,Greater/Lesser Scaup
Frontenac Pt.,Greater Scaup
Frontenac Pt.,Sharp-shinned Hawk
Taughannock Falls SP--Loon Watch,Canada Goose
Taughannock Falls SP--Loon Watch,Mallard
Taughannock Falls SP--Loon Watch,Common Merganser
Taughannock Falls SP--Loon Watch,Ring-billed Gull
Taughannock Falls SP--Loon Watch,Herring Gull
Taughannock Falls SP--Loon Watch,Belted Kingfisher
Taughannock Falls SP--Loon Watch,Carolina Wren
Taughannock Falls SP--Loon Watch,Red-bellied Woodpecker
Taughannock Falls SP--Loon Watch,American Crow
Taughannock Falls SP--Loon Watch,Dark-eyed Junco
Taughannock Falls SP--Loon Watch,Common Loon
Taughannock Falls SP--Loon Watch,European Starling
Taughannock Falls SP--Loon Watch,Eastern Bluebird
Taughannock Falls SP--Loon Watch,American Goldfinch
Taughannock Falls SP--Loon Watch,Cackling Goose
Taughannock Falls SP--Loon Watch,duck sp.
Taughannock Falls SP--Loon Watch,Peregrine Falcon
Taughannock Falls SP--Loon Watch,Black-capped Chickadee
Taughannock Falls SP--Loon Watch,American Black Duck
Taughannock Falls SP--Loon Watch,Redhead
Taughannock Falls SP--Loon Watch,Lesser Scaup
Taughannock Falls SP--Loon Watch,Aythya sp.
Taughannock Falls SP--Loon Watch,scoter sp.
Taughannock Falls SP--Loon Watch,Bonaparte's Gull
Taughannock Falls SP--Loon Watch,Bufflehead
Taughannock Falls SP--Loon Watch,Great Black-backed Gull
Taughannock Falls SP--Loon Watch,Merlin
Taughannock Falls SP--Loon Watch,White-breasted Nuthatch
